x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,PERIOD,CURRENT_FLAG,NORMAL_CODE,NORMAL_ID,PUBLICATION_CODE,DATE_CALCULATED,FIRST_OCCURRENCE_DATE,PROVINCE_CODE,PERIOD_BEGIN,PERIOD_END,FIRST_YEAR,FIRST_YEAR_NORMAL_PERIOD,LAST_YEAR,LAST_YEAR_NORMAL_PERIOD,YEAR_COUNT_NORMAL_PERIOD,TOTAL_OBS_COUNT,OCCURRENCE_COUNT,MAX_DURATION_MISSING_YEARS,PERCENT_OF_POSSIBLE_OBS,E_NORMAL_ELEMENT_NAME,F_NORMAL_ELEMENT_NAME,MONTH,VALUE
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.102.1,NORM,Y,F,102,1,2012-12-05 14:10:21,,NL,1981,2010,,1995,,2001,5,3720,,2,71.43,Total hours bright sunshine,Total des heures d'insolation,1,65.48
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.103.1,NORM,Y,F,103,1,2012-12-05 14:10:21,,NL,1981,2010,,1995,,2001,5,3720,,2,71.43,Days with measurable bright sunshine,Jours avec insolation mesurable,1,18.6
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.105.1,NORM,Y,F,105,1,2012-12-05 14:10:21,,NL,1981,2010,,1995,,2001,5,3720,,2,71.43,Percent of daylight hours based on civil sunrise/sunset,%age heures crépuscule civil (entre lever et coucher du Soleil),1,23.72
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.114.1,NORM,Y,A,114,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,22303,,0,99.92,Mean of hourly vapour pressure kPa,Moyenne de la pression de vapeur horaire en kPa,1,0.4
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.115.1,NORM,Y,A,115,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,22312,,0,99.96,Mean of hourly station pressure kPa,Moyenne de la pression à la station horaire en kPa,1,99.1
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.116.1,NORM,Y,A,116,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Mean of 0600 LST relative humidity %,Moyenne de l'humidité relative à 6 h (HNL) en %,1,84.58
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.117.1,NORM,Y,A,117,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,929,,0,99.89,Mean of 1500 LST relative humidity %,Moyenne de l'humidité relative à 15 h (HNL) en %,1,80.35
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.118.1,NORM,Y,A,118,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,25,18600,,3,83.33,Hours with visibility LT 1 km,Heures avec visibilité < 1 km,1,49.16
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.119.1,NORM,Y,A,119,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,25,18600,,3,83.33,Hours with visibility 1 to 9 km,Heures avec visibilité de 1 à 9 km,1,163.64
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.120.1,NORM,Y,A,120,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,25,18600,,3,83.33,Hours with visibility GT 9 km,Heures avec visibilité > 9 km,1,531.2
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.121.1,NORM,Y,A,121,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,25,18600,,3,83.33,Hours with total cloud opacity 0 to 2 tenths,Heures avec nébulosité totale de 0 à 2 dixièmes,1,81.08
